dist,red,green,blue
6,0.9807692307692307,0.125,0.8625
6,0.9783653846153846,0.3025,0.9825
6,0.9807692307692307,0.165,0.7225
6,0.9759615384615384,0.285,0.7475
6,0.9783653846153846,0.09,0.46
6,0.9783653846153846,0.1175,0.76
6,0.9808612440191388,0.18159203980099503,0.47512437810945274
6,0.9735576923076923,0.4975,0.4925
6,0.9735576923076923,0.1375,0.61
6,0.9808153477218226,0.12967581047381546,0.6708229426433915
6,0.9832535885167464,0.17412935323383086,0.43283582089552236
6,0.9903846153846154,0.12,0.585
7,0.9734939759036144,0.3233082706766917,0.37343358395989973
7,0.9855769230769231,0.33,0.5975
7,0.96875,0.11,0.5425
7,0.9784688995215312,0.14676616915422885,0.3756218905472637
7,0.9807692307692307,0.1375,0.6625
7,0.9759615384615384,0.3275,0.68
7,0.9831730769230769,0.305,0.6925
7,0.9855769230769231,0.36,0.5275
7,0.9855769230769231,0.2925,0.5525
7,0.9807692307692307,0.175,0.53
7,0.9736842105263158,0.5398009950248757,0.3407960199004975
7,0.9759615384615384,0.1125,0.9325
7,0.9807692307692307,0.305,0.855
7,0.9810874704491725,0.32678132678132676,0.7493857493857494
7,0.9855769230769231,0.3425,0.545
7,0.9711538461538461,0.11,0.81
7,0.980722891566265,0.2882205513784461,0.49874686716791977
7,0.9783653846153846,0.115,0.5175
7,0.9832134292565947,0.12219451371571072,0.5885286783042394
7,0.9783653846153846,0.315,0.41
7,0.9903846153846154,0.37,0.5275
7,0.9615384615384616,0.1225,0.7
7,0.9807692307692307,0.5,0.315
7,0.9807692307692307,0.145,0.5325
7,0.9879807692307693,0.1025,0.7225
7,0.9855769230769231,0.3775,0.57
7,0.9663461538461539,0.31,0.455
7,0.9711538461538461,0.3125,0.625
7,0.9903846153846154,0.4625,0.405
7,0.9855421686746988,0.47619047619047616,0.3408521303258145
7,0.9807692307692307,0.555,0.3525
7,0.9783653846153846,0.1675,0.665
7,0.9567307692307693,0.1275,0.73
7,0.9855769230769231,0.15,0.585
7,0.9807692307692307,0.1725,0.5375
7,0.980722891566265,0.41604010025062654,0.5087719298245614
7,0.9759615384615384,0.34,0.6275
7,0.9831730769230769,0.425,0.6675
7,0.9855421686746988,0.11528822055137844,0.3483709273182957
8,0.9810874704491725,0.09582309582309582,0.5405405405405406
8,0.980722891566265,0.3458646616541353,0.39097744360902253
8,0.9855769230769231,0.305,0.58
8,0.9663461538461539,0.33,0.69
8,0.9759615384615384,0.3525,0.5225
8,0.9879518072289156,0.6516290726817042,0.5413533834586466
8,0.9855769230769231,0.5425,0.245
8,0.9615384615384616,0.1525,0.5475
8,0.9832535885167464,0.1791044776119403,0.4527363184079602
8,0.9759615384615384,0.3275,0.4925
8,0.973621103117506,0.33915211970074816,0.5511221945137157
8,0.980722891566265,0.506265664160401,0.3358395989974937
8,0.9783653846153846,0.3075,0.405
8,0.9809976247030879,0.29876543209876544,0.32673267326732675
8,0.980722891566265,0.6967418546365914,0.2932330827067669
8,0.9711538461538461,0.15,0.68
8,0.9688249400479616,0.3341645885286783,0.3516209476309227
8,0.9783653846153846,0.42,0.58
8,0.9711538461538461,0.115,0.4975
8,0.9783653846153846,0.26,0.59
8,0.9879518072289156,0.11278195488721804,0.45363408521303256
8,0.9879807692307693,0.295,0.58
8,0.9759615384615384,0.3325,0.76
8,0.9855421686746988,0.2932330827067669,0.3182957393483709
8,0.9784172661870504,0.2892768079800499,0.5386533665835411
8,0.9879807692307693,0.5275,0.295
8,0.9879807692307693,0.24,0.4825
8,0.9736842105263158,0.42039800995024873,0.6492537313432836
8,0.9855769230769231,0.1325,0.5675
8,0.981042654028436,0.2733990147783251,0.5369458128078818
8,0.9808612440191388,0.5223880597014925,0.43034825870646765
8,0.9783132530120482,0.5538847117794486,0.3458646616541353
8,0.9855421686746988,0.39598997493734334,0.38345864661654133
8,0.9807692307692307,0.1575,0.725
8,0.9879807692307693,0.32,0.5325
8,0.980722891566265,0.11278195488721804,0.7142857142857143
8,0.9664268585131894,0.22194513715710723,0.34663341645885287
8,0.9855421686746988,0.3458646616541353,0.47869674185463656
8,0.9831730769230769,0.52,0.495
8,0.9736842105263158,0.19402985074626866,0.4154228855721393
8,0.981042654028436,0.42857142857142855,0.5246305418719212
8,0.9783653846153846,0.16,0.4025
8,0.9855421686746988,0.2882205513784461,0.43358395989974935
8,0.9879518072289156,0.5964912280701754,0.24310776942355888
